Date,Soil_Temperature (°C),Rainfall_Amount (mm),Soil_pH,UV_Index (UVI),Season,Soil_Texture,Tillage_Practice,Bacillus_Bacteria_Count (CFU/g)
2022-05-01,25.618101782710436,126.73129664541818,7.383124159214254,5.099573687135454,Monsoon,Clay,Low,457987.16199241154
2022-05-02,34.260714596148745,3.4907903603738797,6.504716843971258,3.857291621363588,Summer,Loamy,Low,372363.42733798973
2022-05-03,30.979909127171076,122.17027238834036,5.917816217990162,8.957621250574434,Monsoon,Clay,Low,402704.1383957421
2022-05-04,28.979877262955547,42.27821621600999,7.8820755678108885,6.454633085866479,Monsoon,Clay,High,508809.8986005036
2022-05-05,22.34027960663655,17.724724143248437,7.360218267785541,1.8915083749841273,Summer,Clay,No,413694.2182647516
2022-05-06,22.33991780504304,104.51057480462259,7.100383275928964,3.422015221447925,Summer,Loamy,High,367314.8603732037
2022-05-07,20.871254182522993,94.34142701698259,8.181677749152872,8.515846400255555,Monsoon,Clay,High,507916.7765421695
2022-05-08,32.992642186624025,131.62080202905796,7.8657916336735925,1.837439454393302,Monsoon,Loamy,High,455797.1406952875
2022-05-09,29.01672517614813,110.26065657058287,5.955024639198253,10.363276054536456,Summer,Clay,No,357156.54504465085
2022-05-10,30.621088666940683,120.52213955772729,6.435166203386645,6.446611797153718,Summer,Sandy,Low,347113.22839591425
2022-05-11,20.308767414437035,42.30518588569597,6.245467419443397,6.2864523505931285,Monsoon,Clay,Low,410164.89009008015
2022-05-12,34.54864778242992,26.615931566958423,7.731838877718031,7.516485631254693,Summer,Clay,Low,454569.33451382065
2022-05-13,32.48663961200633,112.59221274612875,5.600597304207338,10.07149062517664,Monsoon,Sandy,No,365895.94350399997
2022-05-14,23.185086660174143,121.0252108900896,7.20966905461395,4.825901286924124,Monsoon,Loamy,Low,421574.35891115805
2022-05-15,22.727374508106507,148.575771300101,7.787376057222072,8.4581776781497,Monsoon,Loamy,No,453216.7917869963
2022-05-16,22.751067647801506,61.89265153671397,8.13029691028525,7.223051603953702,Monsoon,Clay,Low,509228.2454657761
2022-05-17,24.563633644393065,55.802712868917475,6.526245246147722,3.9373109718636345,Summer,Sandy,Low,349365.5707638218
